Product, Price
HP Refurbished ProBook 430 G5 Core I5 - 7TH Gen - 8GB Ram - 128SSD + 5,"KSh 34,999"
"DELL Refurbished Latitude 7440, 14.0'', Core I5, 4GB, 500GB Hdd Touchs","KSh 31,450"
HP Refurbished EliteBook 8460P Core I5 4GBRam 500HDD 14' Inches,"KSh 18,499"
"DELL Refurbished Mini 2120 10.1"" Intel Atom N270 - 250GB HDD - 2GB RAM","KSh 11,999"
"HP Refurbished Elitebook 745 - 14"" - AMD A10 - 8GB RAM - 500GB HDD - w","KSh 24,000"
"HP EliteBook X360 1030 G2 13.3"" Intel Core I5 2.6 GHz, 8GB RAM, 256 GB","KSh 46,074"
"HP Refurbished EliteBook 8470 14"" Intel Core I5 4GB, 500GB HDD FREE MO","KSh 19,000"
"HP Sleek EliteBook X360 1030 G3, 13.3"" - Core I5 8th Gen- 16Gb RAM - 2","KSh 59,999"
HP EliteBook 830 G5 Refurbished Core I7 8th Gen 16GB RAM 256GB SSD - F,"KSh 51,999"
Raspberry Pi Zero WH (Wireless With Headers),"KSh 3,400"
"HP ProBook X360 11 G2 , Intel Core I5, 8 GB RAM, 512 GB SSD, 11.6″ HD ","KSh 27,999"
"Apple Refurbished MacBook Pro 13"" Core I5 2.4GHz 8GB RAM, 500GB HDD (2","KSh 30,499"
"HP Refurbished EliteBook 820 G1 Core I5 8GB RAM 500GB, Windows10","KSh 21,999"
"HP Refurbished Revolve 810- Core I7- 8GB RAM /256 SSD - 11.6""- Sliver ","KSh 27,599"
HP Refurbished Revolve 810 G3 - Intel Core I5 Ram 8gb - Ssd 256gb - 11,"KSh 20,950"
HP Refurbished EliteBook 8460P Core I5 8GBRam 500HDD 14' Inches,"KSh 18,999"
"Lenovo Refurbished T460s 14"" Display, Intel I5 6th Gen 2.6GHz, 8GB RAM","KSh 30,999"
"Lenovo Refurbished Yoga 260 , 12.5"" Touchscreen - 6th Gen, Core I5 - 2","KSh 24,000"
"HP SUPER SLIM Refurbished HP EliteBook Folio 9480m, 14"" Intel Core I7 ","KSh 36,000"
"HP Refurbished EliteBook 840 G4 Core I5 8GB 256GB SSD 14"" Touchscreen ","KSh 31,999"
HP Revolve HP 810 Refurbished Coi5/ 8Gb RAM/256 SSD /Touchscreen/silve,"KSh 21,999"
"HP Refurbished Elitebook 820 Core I5, 4GB RAM 500GB HDD -12.5"", Black","KSh 18,500"
"DELL Refurbished Latitude 3350 Celeron Ram 4GB HDD 500GB 13.6"" Black","KSh 16,499"
HP Super Light Weight Mobile Battery Saving Chromebook 11a-na0502sa Wh,"KSh 32,430"
Lenovo Refurbished Thinkpad Intel Core I5 8 GB RAM 500 GB HDD 12.5'' B,"KSh 23,999"
"HP Refurbished Elitebook 820 12"" Intel Core I5 4GB RAM, 500GB HDD Wind","KSh 20,000"
"HP PROBOOK 450 (refurb) Celeron- 8GB RAM, 500GB HDD + WIN 10+AVG+ BAG+","KSh 25,300"
"HP Refurbished Revolve 810- Core I5- 4GB RAM /128GB SSD - 11.6""- Slive","KSh 19,499"
"HP Refurbished EliteBook 8440p Core I5, 4GB Ram, 500GB Hard Disk + Fre","KSh 18,899"
"Lenovo REFURBISHED THINKPAD YOGA 11E X360 4GB RAM,128SSD HDD,NON TOUCH","KSh 13,999"
"HP Refurbished EliteBook 820 G3, Intel Core I7, 16GB RAM, 512GB SSD","KSh 36,000"
"Lenovo Refurbished ThinkPad T450 - 14"" - Intel Core I5 - 4GB RAM - 500","KSh 20,000"
